name,location,rate_per_sqft,area_in_sqft,area_type,property_title,property_type,bhk_type,price_in_cr
satyamev luxor,"inbopal, ahmedabad",14727,2105,carpet,satyamev luxor,flat,4,3.1
gini lake gardenz,gini lake gardenz,5592,1663,super,gini lake gardenz,flat,3,0.93
sujata flats,sujata flats,12418,765,carpet,sujata flats,flat,2,0.95
samanvay scintilla,"insouth bopal, ahmedabad",9121,899,super,samanvay scintilla,flat,3,0.82
swastik clairmont,"insouth bopal, ahmedabad",,963,super,swastik clairmont,flat,3,
aaron elinor 108,"inthaltej, ahmedabad",,4532,carpet,aaron elinor 108,flat,4,
aarohi avinya,"insatellite, ahmedabad",,2470,super,aarohi avinya,flat,3,
shree balaji agora residency,shree balaji agora residency,5555,2340,super,shree balaji agora residency,flat,4,1.3
suresha anew,suresha anew,8376,2865,built-up,suresha anew,flat,4,2.4
deep indraprasth saptak,nan,5481,3120,super,deep indraprasth saptak,flat,4,1.71
basil skyline,basil skyline,9230,650,super,basil skyline,flat,2,0.6
rig hr erica,"inpaldi, ahmedabad",12242,1258,super,rig hr erica,flat,3,1.54
ivory orchards,"inshilaj, ahmedabad",11344,861,super,ivory orchards,flat,3,0.9767
binori belmont,nan,10545,4021,carpet,binori belmont,flat,6,4.24
avalon park,avalon park,4789,2610,built-up,avalon park,house,4,1.2
aristo anandam 2,aristo anandam 2,4661,1845,built-up,aristo anandam 2,flat,3,0.86
aristo anantam,nan,7800,1923,carpet,aristo anantam,flat,4,1.5
siddhipriya gracia,nan,5373,882,carpet,siddhipriya gracia,flat,3,0.4739
bakeri shyaswa sarovar,nan,9311,4833,carpet,bakeri shyaswa sarovar,flat,5,4.5
"vastral, ahmedabad, ahmedabad east","vastral, ahmedabad, ahmedabad east",8734,1437,super,"vastral, ahmedabad, ahmedabad east",flat,3,1.26
aarsh aquavista,nan,7599,1566,carpet,aarsh aquavista,flat,4,1.19
adani augusta,"injagatpur, ahmedabad",10743,1117,carpet,adani augusta,flat,3,1.2
viceroy ville,viceroy ville,10802,3240,super,viceroy ville,flat,4,3.25
white pelican,white pelican,13303,1135,super,white pelican,flat,3,1.51
"sanathal, sp ring road west, ahmedabad west","sanathal, sp ring road west, ahmedabad west",8238,2367,built-up,"sanathal, sp ring road west, ahmedabad west",house,3,1.95
ranchod bhuvan,ranchod bhuvan,6536,3060,built-up,ranchod bhuvan,flat,5,2
inox casa amplio,inox casa amplio,7415,890,built-up,inox casa amplio,flat,3,0.66
"vasna, 132 ft ring road, ahmedabad west","vasna, 132 ft ring road, ahmedabad west",27778,1800,built-up,"vasna, 132 ft ring road, ahmedabad west",house,3,4.11
elenza gradient,"inshela, ahmedabad",4870,1725,super,elenza gradient,flat,3,0.84
shiv mahadev lavish,nan,,1750,super,shiv mahadev lavish,flat,3,
abhay ratna shashwat,nan,3704,945,super,abhay ratna shashwat,flat,2,0.35
resset good earth,nan,6463,820,carpet,resset good earth,flat,3,0.53
rashmi ombre,nan,,1695,carpet,rashmi ombre,flat,4,
hr eliseo 4,nan,3625,2731,super,hr eliseo 4,flat,4,0.99
shagun seleste,nan,3259,3897,super,shagun seleste,flat,4,1.27
ambali bopal junction,ambali bopal junction,5000,1500,super,ambali bopal junction,flat,3,0.75
swapnil apartment,swapnil apartment,8008,999,super,swapnil apartment,flat,2,0.75
kavisha aer,nan,6326,811,super,kavisha aer,flat,3,0.513
ganga heights,ganga heights,4492,1458,super,ganga heights,flat,2,0.655
chandarana sharnam aayan,chandarana sharnam aayan,3657,2160,carpet,chandarana sharnam aayan,flat,3,0.79
savaliya jahnavi bunglows 1,savaliya jahnavi bunglows 1,41419,1291,super,savaliya jahnavi bunglows 1,house,3,5.35
shayona harmony,shayona harmony,12393,1827,built-up,shayona harmony,house,4,2.9
pushp residency,pushp residency,3796,1080,carpet,pushp residency,flat,2,0.41
safal riviera aspire,safal riviera aspire,7249,4690,super,safal riviera aspire,house,4,3.4
ascent the empiirean,nan,7376,2969,carpet,ascent the empiirean,flat,5,2.19
shashvat symphony,"invaishnodevi circle, ahmedabad",12806,859,carpet,shashvat symphony,flat,3,1.1
orchid sky,orchid sky,5762,1475,super,orchid sky,flat,3,0.85
pacificaamara,pacificaamara,4081,1470,super,pacificaamara,flat,3,0.6
sahil the mango,sahil the mango,4273,5850,super,sahil the mango,flat,5,2.5
madhuban kadamb,nan,2660,1500,super,madhuban kadamb,flat,3,0.399
rameshwar luxuriom elite,"inkasindra, ahmedabad",2753,8318,built-up,rameshwar luxuriom elite,house,5,2.29
devnandan infinity,devnandan infinity,4847,1341,carpet,devnandan infinity,flat,2,0.65
bellevue vieraaa by davda infra,bellevue vieraaa by davda infra,6000,700,super,bellevue vieraaa by davda infra,flat,2,0.44
sheetal aqua,sheetal aqua,14285,2750,built-up,sheetal aqua,flat,3,3
kadamb lavish,nan,,1368,carpet,kadamb lavish,flat,4,
"kathwada gidc, sp ring road east, ahmedabad east","kathwada gidc, sp ring road east, ahmedabad east",42500,200,carpet,"kathwada gidc, sp ring road east, ahmedabad east",house,3,0.8
sahastra splendora 1,"inambli, ahmedabad",13215,1294,carpet,sahastra splendora 1,flat,3,1.71
the satyagrah landmark,nan,,830,built-up,the satyagrah landmark,flat,3,
abhishek rowhouse,abhishek rowhouse,19607,612,built-up,abhishek rowhouse,land,3,1.2
saanvi maple heights,saanvi maple heights,8059,741,carpet,saanvi maple heights,flat,2,0.5975
shreeji residency,shreeji residency,6905,557,carpet,shreeji residency,flat,2,0.3851
satyagrah the atlantis 84,"inzundal, ahmedabad",,875,carpet,satyagrah the atlantis 84,flat,3,
"ctm, amraiwadi, ahmedabad, ahmedabad east","ctm, amraiwadi, ahmedabad, ahmedabad east",14128,672,plot,"ctm, amraiwadi, ahmedabad, ahmedabad east",land,2,0.95
ratnaakar atelier,ratnaakar atelier,11514,1737,super,ratnaakar atelier,flat,3,2
sharnam heights hirawadi,sharnam heights hirawadi,4074,1350,super,sharnam heights hirawadi,flat,2,0.55
vallabhkrupa appt,vallabhkrupa appt,10219,1080,super,vallabhkrupa appt,flat,2,0.699
siddhi aarohi elegance,siddhi aarohi elegance,6586,1746,super,siddhi aarohi elegance,flat,3,1.15
saraswati flate,saraswati flate,4600,2500,plot,saraswati flate,land,3,1.15
eternity by ratnaakar,nan,21115,4215,carpet,eternity by ratnaakar,flat,5,8.9
"enasan, ahmedabad, ahmedabad east","enasan, ahmedabad, ahmedabad east",108433,415,built-up,"enasan, ahmedabad, ahmedabad east",house,5,4.5
north enclave,north enclave,5332,1144,super,north enclave,flat,2,0.61
manor ananda,nan,8652,3294,carpet,manor ananda,flat,5,2.85
satya sankalp sky,"invaishnodevi circle, ahmedabad north",5149,1845,super,satya sankalp sky,flat,3,0.95
the festival residency 2,"invaishnodevi circle, ahmedabad north",7143,1540,super,the festival residency 2,flat,3,1.1
the north park by adani realty,"4, 5",7619,10500,built-up,the north park by adani realty,house,6,8
shikhar shantim flats,shikhar shantim flats,7727,1100,built-up,shikhar shantim flats,flat,3,0.85
dev atharva abode,"inkhodiyar, ahmedabad",8523,880,super,dev atharva abode,flat,3,0.75
castle living apartment,castle living apartment,7260,1584,built-up,castle living apartment,flat,3,1.15
green fluorite,nan,8615,1053,carpet,green fluorite,flat,3,0.9072
bhagwat,bhagwat,20184,2601,super,bhagwat,flat,3,5.25
ts tremont adleap,nan,6832,2020,carpet,ts tremont adleap,flat,4,1.38
satyamev royal 3,satyamev royal 3,4798,1980,super,satyamev royal 3,flat,2,0.95
om the green parmeshwar,nan,8426,846,carpet,om the green parmeshwar,flat,3,0.7128
saanvi nirman solace,nan,7481,802,super,saanvi nirman solace,flat,3,0.6
jp iscon platinum,jp iscon platinum,7412,2415,super,jp iscon platinum,flat,3,1.75
devnandan heights,devnandan heights,5010,2295,super,devnandan heights,flat,3,1.15
nscale tulip 34,"inkathwada, sp ring road east",7674,834,carpet,nscale tulip 34,flat,3,0.64
parshwanath metrocity,parshwanath metrocity,4364,1603,super,parshwanath metrocity,flat,2,0.7
parishram siesta dwelling,parishram siesta dwelling,5666,3000,super,parishram siesta dwelling,flat,3,1.65
anantara abode,nan,,2078,carpet,anantara abode,flat,4,
setu apartment,setu apartment,8333,1800,super,setu apartment,flat,5,1.5
safal orchid valley,safal orchid valley,5410,1340,super,safal orchid valley,flat,3,0.725
sagani vraj bhoomi bunglow,sagani vraj bhoomi bunglow,13889,720,super,sagani vraj bhoomi bunglow,flat,4,1
tulsi paradise,"inmotera, ahmedabad",,1845,super,tulsi paradise,flat,3,
dev samruddhi,dev samruddhi,33027,109,super,dev samruddhi,flat,2,0.36
