name,location,rate_per_sqft,area_in_sqft,area_type,property_title,property_type,bhk_type,price_in_cr
silverline residency,silverline residency,4285,1050,super,silverline residency,flat,2,0.45
yash avenue,yash avenue,3733,1125,super,yash avenue,flat,2,0.42
"dev home town 4, chandkheda","dev home town 4, chandkheda",5722,1197,super,"dev home town 4, chandkheda",flat,2,0.685
utsav residency,utsav residency,4505,1664,super,utsav residency,flat,3,0.75
anand sky life apartment,anand sky life apartment,4637,1380,super,anand sky life apartment,flat,2,0.64
"jantanagar society, parshwanath nagar","jantanagar society, parshwanath nagar",14000,600,plot,"jantanagar society, parshwanath nagar",flat,2,0.84
parshwa residency,parshwa residency,4077,981,built-up,parshwa residency,flat,2,0.42
rajeshwary society,rajeshwary society,5797,2070,built-up,rajeshwary society,house,4,1
kb phoenix,kb phoenix,4952,1050,carpet,kb phoenix,flat,2,0.5
vivan101,vivan101,4297,1152,super,vivan101,flat,2,0.495
the crest,the crest,5523,1575,super,the crest,flat,3,0.87
devnandan heights,devnandan heights,6562,1600,super,devnandan heights,flat,3,1.05
maharaja enclave,maharaja enclave,4545,1100,super,maharaja enclave,flat,2,0.5
d and b saatatya,d and b saatatya,3945,1521,super,d and b saatatya,flat,3,0.6
swati residency 5,swati residency 5,4259,1130,super,swati residency 5,flat,2,0.55
yogeshwar residency,yogeshwar residency,3472,1152,built-up,yogeshwar residency,flat,2,0.4
"adiswar nagar, nava naroda, ahmedabad east","adiswar nagar, nava naroda, ahmedabad east",7222,900,plot,"adiswar nagar, nava naroda, ahmedabad east",flat,1,0.65
keshavpriya naroda smart city,keshavpriya naroda smart city,3244,1017,super,keshavpriya naroda smart city,flat,2,0.33
star empire and elegance,star empire and elegance,6365,864,super,star empire and elegance,flat,2,0.55
satva galaxy five,satva galaxy five,3928,891,super,satva galaxy five,flat,1,0.35
ashirvad avenue,ashirvad avenue,32173,115,super,ashirvad avenue,flat,2,0.37
shri ram apartment,shri ram apartment,2875,765,super,shri ram apartment,flat,1,0.22
swaminarayan park,swaminarayan park,21818,110,super,swaminarayan park,flat,2,0.24
sahtiya hills & icon,sahtiya hills & icon,6146,602,carpet,sahtiya hills & icon,flat,2,0.37
v square avani sky,v square avani sky,4464,1008,carpet,v square avani sky,flat,2,0.45
shree radhe repose,shree radhe repose,7916,821,super,shree radhe repose,flat,3,0.65
shri hari gift city,shri hari gift city,210,21452,super,shri hari gift city,flat,3,0.45
avani square,avani square,5776,952,super,avani square,flat,2,0.5499
karnavati orchid heritage,karnavati orchid heritage,41212,165,super,karnavati orchid heritage,flat,3,0.68
tirthraj 4,tirthraj 4,4666,750,super,tirthraj 4,flat,2,0.35
raghav residency,raghav residency,317,18298,super,raghav residency,flat,3,0.58
"nava naroda, ahmedabad, ahmedabad east","nava naroda, ahmedabad, ahmedabad east",12417,1208,carpet,"nava naroda, ahmedabad, ahmedabad east",flat,3,1.65
galaxy residency,galaxy residency,3729,1153,super,galaxy residency,flat,2,0.43
pallavit jyoti residency,pallavit jyoti residency,3584,1116,super,pallavit jyoti residency,flat,2,0.4
mahil star icon and paradise,mahil star icon and paradise,4402,2385,super,mahil star icon and paradise,flat,3,1.05
shyam kutir,shyam kutir,3750,1413,super,shyam kutir,flat,3,0.53
ganesh icon and heights,ganesh icon and heights,10000,400,carpet,ganesh icon and heights,flat,2,0.4
spelndid murlidhar heights,spelndid murlidhar heights,830,5837,super,spelndid murlidhar heights,flat,3,0.485
manohar villa,manohar villa,13227,1890,built-up,manohar villa,flat,3,2.5
radhe govind galaxy,radhe govind galaxy,4593,675,carpet,radhe govind galaxy,flat,2,0.31
spelndid murlidhar heights,spelndid murlidhar heights,4035,1140,built-up,spelndid murlidhar heights,flat,3,0.46
vitthal velocity,vitthal velocity,3098,1420,super,vitthal velocity,flat,3,0.44
prime hill hanspura,prime hill hanspura,8333,1305,super,prime hill hanspura,flat,2,0.6
"nava naroda, ahmedabad, ahmedabad east","nava naroda, ahmedabad, ahmedabad east",8800,2500,built-up,"nava naroda, ahmedabad, ahmedabad east",house,4,2.1
spelndid murlidhar heights,spelndid murlidhar heights,5959,646,carpet,spelndid murlidhar heights,flat,3,0.385
shyam villa greens,shyam villa greens,3357,1251,super,shyam villa greens,flat,2,0.42
vastu parimal exotica,vastu parimal exotica,5845,1899,super,vastu parimal exotica,flat,3,1.11
karnavati orchid heritage,karnavati orchid heritage,4236,1485,super,karnavati orchid heritage,flat,3,0.58
shubh laxmi avnue,shubh laxmi avnue,3597,1251,super,shubh laxmi avnue,flat,2,0.45
pratistha,pratistha,3292,1215,super,pratistha,flat,2,0.4
green avnue,green avnue,3910,1215,super,green avnue,flat,2,0.4751
maruti sarthi residency,maruti sarthi residency,10000,1400,super,maruti sarthi residency,flat,3,1.4
shilp white elegance and white business hub,shilp white elegance and white business hub,4166,1872,super,shilp white elegance and white business hub,flat,3,0.78
sunrise exotica,sunrise exotica,3518,1521,super,sunrise exotica,flat,2,0.5351
abjibapa dev aashish sky,abjibapa dev aashish sky,3656,1422,super,abjibapa dev aashish sky,flat,3,0.52
prathna samay sky track,prathna samay sky track,4526,2430,super,prathna samay sky track,flat,3,1.1
manohar villa,manohar villa,8750,1200,super,manohar villa,flat,3,1.05
"naroda, ahmedabad, ahmedabad east","naroda, ahmedabad, ahmedabad east",11679,1584,super,"naroda, ahmedabad, ahmedabad east",flat,3,1.85
jeevan pran society,jeevan pran society,4167,1440,super,jeevan pran society,flat,3,0.6
sarjan sky,sarjan sky,7958,1332,carpet,sarjan sky,flat,2,0.53
colin elegance,colin elegance,4831,1242,super,colin elegance,flat,2,0.6
radhe govind galaxy,radhe govind galaxy,3636,990,super,radhe govind galaxy,flat,2,0.36
on request,on request,3204,1386,super,on request,flat,2,0.4441
on request,on request,3667,1350,super,on request,flat,2,0.4951
sunrise exotica,sunrise exotica,3504,1413,super,sunrise exotica,flat,2,0.4951
omnium square,omnium square,7671,730,carpet,omnium square,flat,2,0.56
achal shree vasundhara royal,achal shree vasundhara royal,3213,1089,super,achal shree vasundhara royal,flat,2,0.35
sahitya hills and icon,sahitya hills and icon,3460,1098,super,sahitya hills and icon,flat,2,0.38
kalash parisar and plaza,kalash parisar and plaza,4098,1098,super,kalash parisar and plaza,flat,2,0.45
satyam villa,satyam villa,24366,1026,super,satyam villa,flat,3,2.5
devraj residency,devraj residency,3478,1035,super,devraj residency,flat,2,0.36
maruti shree ram vandan,maruti shree ram vandan,3492,945,super,maruti shree ram vandan,flat,2,0.33
yogeshwar residency,yogeshwar residency,3730,1260,super,yogeshwar residency,flat,2,0.47
govardhan galaxy apartment,govardhan galaxy apartment,30769,130,super,govardhan galaxy apartment,flat,2,0.4
devraj residency,devraj residency,3864,1035,super,devraj residency,flat,2,0.4
spelndid murlidhar heights,spelndid murlidhar heights,2937,1600,super,spelndid murlidhar heights,flat,3,0.47
satva 5,satva 5,4239,1215,super,satva 5,flat,2,0.5151
devraj residency,devraj residency,3768,1035,super,devraj residency,flat,2,0.39
gopinath pride,gopinath pride,3677,1251,super,gopinath pride,flat,2,0.46
laxmi villa greens,laxmi villa greens,4444,1575,super,laxmi villa greens,house,3,0.7
shree ram heights,shree ram heights,2891,1107,super,shree ram heights,flat,2,0.32
murlidhar heights,murlidhar heights,3615,1242,super,murlidhar heights,flat,3,0.449
laxmi sky city,laxmi sky city,3481,1350,super,laxmi sky city,flat,3,0.47
murlidhar heights,murlidhar heights,4209,1188,super,murlidhar heights,flat,3,0.5
shankhshwar township phase 2,shankhshwar township phase 2,3065,1044,super,shankhshwar township phase 2,flat,2,0.32
spelndid murlidhar heights,spelndid murlidhar heights,7189,695,carpet,spelndid murlidhar heights,flat,3,0.5
"naroda, ahmedabad, ahmedabad east","naroda, ahmedabad, ahmedabad east",9899,990,super,"naroda, ahmedabad, ahmedabad east",flat,4,0.98
swati satkar premium,swati satkar premium,5072,2070,super,swati satkar premium,flat,3,1.05
adhisthaan bunglows,adhisthaan bunglows,18056,1440,plot,adhisthaan bunglows,house,4,2.6
prathna samay sky track,prathna samay sky track,3957,2906,super,prathna samay sky track,flat,3,1.15
royal residency,royal residency,4000,900,super,royal residency,flat,2,0.36
pratham paradise,pratham paradise,3555,1125,super,pratham paradise,flat,2,0.4
spelndid murlidhar heights,spelndid murlidhar heights,3341,1197,super,spelndid murlidhar heights,flat,3,0.4
abjibapa dev aashish sky,abjibapa dev aashish sky,3671,1035,super,abjibapa dev aashish sky,flat,2,0.38
dev ashish pride and plaza,dev ashish pride and plaza,3872,1782,super,dev ashish pride and plaza,flat,3,0.69
jivanpran residency,jivanpran residency,3575,1035,super,jivanpran residency,flat,2,0.37
madhav vrund,madhav vrund,3704,1053,super,madhav vrund,flat,2,0.39
sparsh residency,sparsh residency,3111,1125,super,sparsh residency,flat,2,0.35
jyoti residency,jyoti residency,3405,1116,super,jyoti residency,flat,2,0.38
partistha hills,partistha hills,3347,1404,super,partistha hills,flat,2,0.47
shyam kutir,shyam kutir,25000,100,super,shyam kutir,flat,1,0.25
r d sai sharnam and sai platinum,r d sai sharnam and sai platinum,4353,850,built-up,r d sai sharnam and sai platinum,flat,2,0.37
thakshashila residency,thakshashila residency,3704,945,super,thakshashila residency,flat,2,0.35
govardhan galaxy apartment,govardhan galaxy apartment,5263,855,carpet,govardhan galaxy apartment,flat,2,0.45
keshavpriya naroda smart city,keshavpriya naroda smart city,3244,1017,super,keshavpriya naroda smart city,flat,2,0.33
abjibapa dev aashish sky,abjibapa dev aashish sky,4000,1125,super,abjibapa dev aashish sky,flat,2,0.45
"new naroda, ahmedabad, ahmedabad east","new naroda, ahmedabad, ahmedabad east",3825,914,plot,"new naroda, ahmedabad, ahmedabad east",flat,1,0.35
ozone glitter,ozone glitter,2917,720,super,ozone glitter,flat,1,0.21
jeevan pran residency,jeevan pran residency,3484,1062,super,jeevan pran residency,flat,2,0.37
royal bunglows,royal bunglows,13683,1388,built-up,royal bunglows,flat,3,1.9
siddhi silver spring,siddhi silver spring,34810,158,super,siddhi silver spring,flat,2,0.55
amidhara row house,amidhara row house,81818,110,plot,amidhara row house,house,3,0.9
"naroda, ahmedabad, ahmedabad east","naroda, ahmedabad, ahmedabad east",11778,450,super,"naroda, ahmedabad, ahmedabad east",house,2,0.53
dharmnath prabhu society,dharmnath prabhu society,4365,1260,plot,dharmnath prabhu society,house,4,0.55
"nava naroda, ahmedabad, ahmedabad east","nava naroda, ahmedabad, ahmedabad east",4365,1260,super,"nava naroda, ahmedabad, ahmedabad east",flat,3,0.55
naroda,naroda,2708,720,built-up,naroda,flat,1,0.195
krishna avenue,krishna avenue,3048,1170,carpet,krishna avenue,flat,2,0.25
hiloni 444,hiloni 444,4057,1035,super,hiloni 444,flat,2,0.42
orchid royal,orchid royal,28965,145,super,orchid royal,flat,2,0.42
swaminarayan park,swaminarayan park,2083,1200,super,swaminarayan park,flat,2,0.25
kpc aashirwad upvan,kpc aashirwad upvan,11402,1184,super,kpc aashirwad upvan,flat,4,1.35
sominam park,sominam park,2374,990,carpet,sominam park,flat,2,0.235
"h-201, yash flora flats","h-201, yash flora flats",5208,1440,super,"h-201, yash flora flats",flat,3,0.75
avani homes,avani homes,4209,1188,super,avani homes,flat,2,0.5
dharmadev swaminarayan park naroda,dharmadev swaminarayan park naroda,2417,972,built-up,dharmadev swaminarayan park naroda,flat,2,0.235
the first,"inhanspura, nava naroda",,1238,super,the first,flat,3,
shubham sky track,"inhanspura, nava naroda",6661,1126,carpet,shubham sky track,flat,3,0.75
panacea residency,panacea residency,15686,153,super,panacea residency,flat,1,0.24
pulin society part 3,pulin society part 3,16296,675,plot,pulin society part 3,house,2,1.1
panacea residency,panacea residency,3611,720,super,panacea residency,flat,1,0.26
devnandan sankalp city,devnandan sankalp city,4000,675,carpet,devnandan sankalp city,flat,1,0.27
galaxy 88,galaxy 88,5503,945,super,galaxy 88,flat,2,0.52
chandrama co operative housing society,chandrama co operative housing society,2353,3562,plot,chandrama co operative housing society,land,6,0.8385
vitthal velocity,vitthal velocity,4444,1350,carpet,vitthal velocity,flat,3,0.6
riddhi residency,riddhi residency,4347,1035,carpet,riddhi residency,flat,2,0.45
panchkutir residency,panchkutir residency,36220,127,super,panchkutir residency,flat,2,0.46
uma yash platina,uma yash platina,4564,1205,super,uma yash platina,flat,2,0.55
keshavbaug society,keshavbaug society,10501,819,built-up,keshavbaug society,house,3,0.86
maruti shree ram vandan,maruti shree ram vandan,3729,657,carpet,maruti shree ram vandan,flat,1,0.245
raghuvir appartment new naroda,raghuvir appartment new naroda,7083,240,super,raghuvir appartment new naroda,flat,1,0.17
maruti villa,maruti villa,9854,964,plot,maruti villa,house,3,0.95
ashray apartment,ashray apartment,2777,900,built-up,ashray apartment,flat,1,0.25
ganesh vihar,ganesh vihar,3601,972,super,ganesh vihar,flat,2,0.35
panacea residency,panacea residency,3703,1098,super,panacea residency,flat,2,0.35
"nava naroda, ahmedabad, ahmedabad east","nava naroda, ahmedabad, ahmedabad east",8940,783,super,"nava naroda, ahmedabad, ahmedabad east",house,2,0.7
naroda pride,naroda pride,4000,1000,super,naroda pride,flat,2,0.4
"nava naroda, ahmedabad, ahmedabad east","nava naroda, ahmedabad, ahmedabad east",7464,1755,super,"nava naroda, ahmedabad, ahmedabad east",house,3,1.31
maruti shree ram vandan,maruti shree ram vandan,3500,657,super,maruti shree ram vandan,flat,1,0.23
sarjan sky,sarjan sky,3940,1269,carpet,sarjan sky,flat,2,0.5
dev ashish pride and plaza,dev ashish pride and plaza,4761,1008,plot,dev ashish pride and plaza,flat,2,0.46
"naroda, ahmedabad, ahmedabad east","naroda, ahmedabad, ahmedabad east",4880,1332,super,"naroda, ahmedabad, ahmedabad east",flat,2,0.65
laxmi sky city,laxmi sky city,3777,1350,super,laxmi sky city,flat,3,0.51
"naroda, ahmedabad, ahmedabad east","naroda, ahmedabad, ahmedabad east",6944,1080,super,"naroda, ahmedabad, ahmedabad east",house,4,0.75
ambika park society,ambika park society,5000,600,plot,ambika park society,house,4,0.3
ozone city,ozone city,3336,1199,plot,ozone city,land,3,0.4
shyamal park,shyamal park,2000,2250,built-up,shyamal park,house,2,0.45
galaxy keshav galaxy,galaxy keshav galaxy,5361,1026,super,galaxy keshav galaxy,flat,3,0.55
nilkanth shyam enclave,nilkanth shyam enclave,37333,150,super,nilkanth shyam enclave,flat,2,0.56
devnandan sankalp city,devnandan sankalp city,2500,480,super,devnandan sankalp city,flat,1,0.12
shyam villa greens,shyam villa greens,20462,303,super,shyam villa greens,flat,3,0.62
"nava naroda, ahmedabad, ahmedabad east","nava naroda, ahmedabad, ahmedabad east",5925,1350,built-up,"nava naroda, ahmedabad, ahmedabad east",house,2,0.8
shree radhe krishna royal,shree radhe krishna royal,3571,1260,super,shree radhe krishna royal,flat,2,0.45
bapashree sarvopari flora,bapashree sarvopari flora,3210,1215,super,bapashree sarvopari flora,flat,2,0.39
"hanspura, nava naroda, ahmedabad east","hanspura, nava naroda, ahmedabad east",180952,105,built-up,"hanspura, nava naroda, ahmedabad east",house,4,1.9
neelkanth villa,neelkanth villa,30813,86,super,neelkanth villa,flat,1,0.265
star empire and elegance,star empire and elegance,9551,1047,built-up,star empire and elegance,flat,3,1
rajeev park society,rajeev park society,6000,900,super,rajeev park society,flat,3,0.54
anilpark society,anilpark society,9722,1080,super,anilpark society,flat,4,1.05
ozone glitter,ozone glitter,5500,400,super,ozone glitter,flat,1,0.22
project swaminarayan park,project swaminarayan park,4666,600,super,project swaminarayan park,flat,2,0.28
8 tulsi bunglows,8 tulsi bunglows,11236,2250,super,8 tulsi bunglows,flat,4,1.8
pavan apartment,pavan apartment,5500,1000,plot,pavan apartment,house,3,0.55
vedant the fortune,vedant the fortune,4444,4050,super,vedant the fortune,flat,4,1.8
rudraksh appartment block no 302 maroad,rudraksh appartment block no 302 maroad,4400,500,super,rudraksh appartment block no 302 maroad,flat,2,0.22
shiv ugati city,shiv ugati city,2987,1071,super,shiv ugati city,flat,2,0.32
shyam villa greens,shyam villa greens,3809,1575,super,shyam villa greens,flat,3,0.6
neel fortune height,neel fortune height,4597,2610,built-up,neel fortune height,flat,3,1.2
nan,"hanspura, nava naroda",3930,1323,built-up,nan,flat,2,0.52
shiv shivanta sky,shiv shivanta sky,8566,642,built-up,shiv shivanta sky,flat,3,0.55
rudraksh complex,rudraksh complex,2857,630,super,rudraksh complex,flat,1,0.18
panacea residency,panacea residency,4615,1300,super,panacea residency,flat,2,0.6
sthapatya residency,sthapatya residency,3783,780,super,sthapatya residency,flat,1,0.2951
sindu villa apartments,sindu villa apartments,5142,1400,super,sindu villa apartments,house,2,0.72
karnavati park society,karnavati park society,6536,765,super,karnavati park society,house,1,0.5
shukan bungalows,shukan bungalows,13206,2196,plot,shukan bungalows,house,4,2.9
shyam villa greens,shyam villa greens,4762,1575,super,shyam villa greens,flat,3,0.75
kpc aashirwad homes,kpc aashirwad homes,3306,756,super,kpc aashirwad homes,flat,1,0.25
kpc aashirwad dev,kpc aashirwad dev,2988,1188,super,kpc aashirwad dev,flat,2,0.355
"naroda, ahmedabad, ahmedabad east","naroda, ahmedabad, ahmedabad east",7787,963,plot,"naroda, ahmedabad, ahmedabad east",land,2,0.7499
devnandan sankalp city,devnandan sankalp city,2370,675,super,devnandan sankalp city,flat,1,0.16
devnandan sankalp city,devnandan sankalp city,2370,675,super,devnandan sankalp city,flat,1,0.155
ashirvad dev,ashirvad dev,2988,1188,super,ashirvad dev,flat,2,0.355
shree sankalp avenue,shree sankalp avenue,4600,500,carpet,shree sankalp avenue,flat,1,0.23
vision madhuvan glory,vision madhuvan glory,3357,953,super,vision madhuvan glory,flat,2,0.32
"krishnanagar, nava naroda, ahmedabad east","krishnanagar, nava naroda, ahmedabad east",8000,1125,built-up,"krishnanagar, nava naroda, ahmedabad east",flat,2,0.9
gokul galaxy residency,gokul galaxy residency,4400,250,carpet,gokul galaxy residency,flat,1,0.11
gujarat housing board,gujarat housing board,2900,1000,super,gujarat housing board,flat,2,0.29
"naroda, ahmedabad, ahmedabad east","naroda, ahmedabad, ahmedabad east",3611,1800,super,"naroda, ahmedabad, ahmedabad east",flat,3,0.78
shree swapnil elegance,shree swapnil elegance,6878,945,super,shree swapnil elegance,flat,2,0.65
achal shree vasundhara royal,achal shree vasundhara royal,3325,1143,super,achal shree vasundhara royal,flat,2,0.38
radhe govind galaxy,radhe govind galaxy,3222,900,carpet,radhe govind galaxy,flat,2,0.29
radhe govind galaxy,radhe govind galaxy,3586,990,super,radhe govind galaxy,flat,2,0.355
radhe govind galaxy,radhe govind galaxy,3240,1080,super,radhe govind galaxy,flat,1,0.35
devnandan sankalp city,devnandan sankalp city,2444,675,plot,devnandan sankalp city,flat,1,0.165
panacia residency,panacia residency,34000,100,carpet,panacia residency,flat,2,0.34
daksha residency,daksha residency,3333,1500,super,daksha residency,flat,2,0.5
shiv shivanta sky,shiv shivanta sky,30256,195,super,shiv shivanta sky,flat,3,0.59
"krishnanagar, nava naroda, ahmedabad east","krishnanagar, nava naroda, ahmedabad east",5555,2700,built-up,"krishnanagar, nava naroda, ahmedabad east",house,3,1.5
ozone city,ozone city,2873,1566,super,ozone city,flat,3,0.45
star empire and elegance,star empire and elegance,3148,1620,super,star empire and elegance,flat,2,0.51
satva 3,satva 3,5079,1575,super,satva 3,flat,3,0.8
mahil star icon and paradise,mahil star icon and paradise,3636,1485,carpet,mahil star icon and paradise,flat,2,0.53
victoria heights,victoria heights,2991,1170,super,victoria heights,flat,3,0.35
satva shreeji,satva shreeji,3703,1215,super,satva shreeji,flat,2,0.45
gopinath pride,gopinath pride,3060,1242,super,gopinath pride,flat,2,0.38
mansi duplex,mansi duplex,6934,1008,super,mansi duplex,house,4,0.699
hare krishna apartment,hare krishna apartment,2029,1355,super,hare krishna apartment,flat,2,0.275
nilkanth residency,nilkanth residency,6046,1323,super,nilkanth residency,flat,3,0.8
devnandan sankalp city,devnandan sankalp city,2353,765,carpet,devnandan sankalp city,flat,1,0.18
samor heights,samor heights,4498,678,built-up,samor heights,flat,2,0.305
umiya apartment,umiya apartment,3000,900,super,umiya apartment,flat,2,0.27
vision madhuvan glory,vision madhuvan glory,31531,111,super,vision madhuvan glory,flat,2,0.35
shiv ugati city,shiv ugati city,2777,720,super,shiv ugati city,flat,1,0.2
jeevan pran residency,jeevan pran residency,4058,1035,super,jeevan pran residency,flat,2,0.42
himshila sky,himshila sky,3012,1494,super,himshila sky,flat,2,0.45
shyam villa 3,shyam villa 3,27142,140,super,shyam villa 3,flat,2,0.38
shilp white elegance and white business hub,shilp white elegance and white business hub,7616,1665,super,shilp white elegance and white business hub,flat,3,0.6969
panacea residency,panacea residency,5905,1098,super,panacea residency,flat,2,0.45
braj galaxy apartment,braj galaxy apartment,2898,1035,built-up,braj galaxy apartment,flat,2,0.3
swaminarayan park,swaminarayan park,2421,950,super,swaminarayan park,flat,2,0.23
"noble nager,k-2/10 airport road","noble nager,k-2/10 airport road",53846,130,plot,"noble nager,k-2/10 airport road",flat,3,0.7
galaxy 88,galaxy 88,3600,1000,super,galaxy 88,flat,1,0.36
takshashila residency,takshashila residency,3611,1080,built-up,takshashila residency,flat,2,0.39
vasudev park society,vasudev park society,4205,1022,super,vasudev park society,flat,4,0.43
"new naroda, ahmedabad, ahmedabad east","new naroda, ahmedabad, ahmedabad east",4401,1022,super,"new naroda, ahmedabad, ahmedabad east",flat,4,0.45
panchratna appartment,panchratna appartment,3333,1530,super,panchratna appartment,flat,3,0.51
"hanspura, nava naroda, ahmedabad east","hanspura, nava naroda, ahmedabad east",125000,200,built-up,"hanspura, nava naroda, ahmedabad east",house,4,2.5
galaxy 88,galaxy 88,3851,675,carpet,galaxy 88,flat,1,0.26
vinayak vatika,vinayak vatika,3970,755,super,vinayak vatika,flat,1,0.3
devnandan sankalp city,devnandan sankalp city,2375,800,super,devnandan sankalp city,flat,1,0.19
kudarat residency,kudarat residency,4500,1000,super,kudarat residency,flat,2,0.45
mansi apartments,mansi apartments,2902,810,super,mansi apartments,flat,1,0.2351
sun exotica,sun exotica,2881,1215,super,sun exotica,flat,2,0.35
laxmi villa greens,laxmi villa greens,3504,1170,super,laxmi villa greens,flat,2,0.41
"vyaswadi, nava naroda, ahmedabad east","vyaswadi, nava naroda, ahmedabad east",10779,1206,built-up,"vyaswadi, nava naroda, ahmedabad east",flat,4,1.3
"nava naroda, ahmedabad, ahmedabad east","nava naroda, ahmedabad, ahmedabad east",7500,1200,built-up,"nava naroda, ahmedabad, ahmedabad east",flat,3,0.9
nan,"nava naroda, ahmedabad",5776,952,built-up,nan,flat,2,0.5499
vision madhuvan glory,vision madhuvan glory,3587,990,super,vision madhuvan glory,flat,2,0.3551
devnandan sankalp city,devnandan sankalp city,2222,675,super,devnandan sankalp city,flat,1,0.15
bapashree sarvopari flora,bapashree sarvopari flora,2881,1215,super,bapashree sarvopari flora,flat,2,0.38
galaxy keshav galaxy,galaxy keshav galaxy,4929,1420,carpet,galaxy keshav galaxy,flat,3,0.7
pallavit jyoti residency,pallavit jyoti residency,3292,1215,super,pallavit jyoti residency,flat,2,0.4
sarthak appartment parshwanath township,sarthak appartment parshwanath township,1178,1485,super,sarthak appartment parshwanath township,flat,2,0.175
"naroda, ahmedabad, ahmedabad east","naroda, ahmedabad, ahmedabad east",3140,2070,super,"naroda, ahmedabad, ahmedabad east",house,1,0.65
govardhan galaxy apartment,govardhan galaxy apartment,4761,945,super,govardhan galaxy apartment,flat,2,0.45
laxmi sky city,laxmi sky city,3461,2600,built-up,laxmi sky city,house,3,0.9
neelkanth pushkar residency,neelkanth pushkar residency,7570,607,carpet,neelkanth pushkar residency,flat,2,0.46
rashmi platinum,rashmi platinum,39766,171,super,rashmi platinum,flat,3,0.68
shyam villa greens,shyam villa greens,3062,1143,super,shyam villa greens,flat,2,0.35
sanket flat,sanket flat,6061,1980,super,sanket flat,flat,3,1.2
maruti shree ram vatika,maruti shree ram vatika,4088,477,super,maruti shree ram vatika,flat,1,0.195
bapashree sarvopari flora,bapashree sarvopari flora,3292,1215,built-up,bapashree sarvopari flora,flat,2,0.4
spelndid murlidhar heights,spelndid murlidhar heights,8007,611,super,spelndid murlidhar heights,flat,3,0.49
vision madhuvan glory,vision madhuvan glory,264,12100,super,vision madhuvan glory,flat,2,0.32
panacea residency,panacea residency,3916,1098,super,panacea residency,flat,2,0.43
royal residency,royal residency,7333,450,super,royal residency,flat,1,0.33
laxmi sky city,laxmi sky city,4705,1360,super,laxmi sky city,flat,3,0.64
shree khodiyar shivam arcade,shree khodiyar shivam arcade,5114,743,super,shree khodiyar shivam arcade,flat,2,0.38
panjari residency,panjari residency,3412,1143,super,panjari residency,flat,2,0.39
nan,"naroda, ahmedabad",2857,1050,built-up,nan,flat,2,0.3
"naroda, ahmedabad, ahmedabad east","naroda, ahmedabad, ahmedabad east",4545,990,super,"naroda, ahmedabad, ahmedabad east",house,1,0.45
radhe govind galaxy,radhe govind galaxy,3571,980,super,radhe govind galaxy,flat,2,0.35
omnium square,omnium square,7777,720,carpet,omnium square,flat,2,0.56
devkinandan apartment,devkinandan apartment,2858,927,super,devkinandan apartment,flat,2,0.265
bhakti luv kush bungalows,bhakti luv kush bungalows,37327,1205,plot,bhakti luv kush bungalows,house,3,4.5
aatrey elegance,aatrey elegance,3283,990,super,aatrey elegance,flat,2,0.325
shree shreem luxuria,shree shreem luxuria,3307,1935,built-up,shree shreem luxuria,flat,3,0.64
jeevan pran residency,jeevan pran residency,3552,1548,super,jeevan pran residency,flat,3,0.55
umiya apartment,umiya apartment,2623,648,carpet,umiya apartment,flat,1,0.17
royal rejoice 2,royal rejoice 2,4762,1260,carpet,royal rejoice 2,flat,2,0.6
aditya residency,aditya residency,32710,107,super,aditya residency,flat,2,0.35
nilkanth heights,nilkanth heights,3735,1071,carpet,nilkanth heights,flat,2,0.4
raghav residency,raghav residency,5151,1650,super,raghav residency,flat,3,0.85
swaminarayan park,swaminarayan park,2319,1035,super,swaminarayan park,flat,2,0.24
shrusti lavish,shrusti lavish,3631,1143,super,shrusti lavish,flat,2,0.4151
gokul galaxy residency,gokul galaxy residency,3157,475,carpet,gokul galaxy residency,flat,1,0.15
devnandan sankalp city,devnandan sankalp city,2279,720,super,devnandan sankalp city,flat,1,0.16
nan,"nava naroda, ahmedabad",7419,310,built-up,nan,flat,1,0.23
divyajivan satsang,divyajivan satsang,3382,1035,built-up,divyajivan satsang,flat,2,0.35
gopinath pride,gopinath pride,2979,1242,super,gopinath pride,flat,2,0.37
orchid royal,orchid royal,3760,1170,super,orchid royal,flat,2,0.44
"shrusti society, nava naroda, ahmedabad east","shrusti society, nava naroda, ahmedabad east",4678,3420,built-up,"shrusti society, nava naroda, ahmedabad east",flat,3,1.6
"shyamkutir-2, nava naroda","shyamkutir-2, nava naroda",4038,1035,super,"shyamkutir-2, nava naroda",flat,2,0.418
shyam sikhar flate,shyam sikhar flate,3703,1215,super,shyam sikhar flate,flat,2,0.45
shree sankalp avenue,shree sankalp avenue,7419,310,super,shree sankalp avenue,flat,1,0.23
nilkanth shyam enclave,nilkanth shyam enclave,5698,2457,super,nilkanth shyam enclave,flat,3,1.4
budhrani gayatri green,budhrani gayatri green,3613,1107,super,budhrani gayatri green,flat,2,0.4
gokul galaxy residency,gokul galaxy residency,6338,142,carpet,gokul galaxy residency,flat,1,0.09
swaminarayan park,swaminarayan park,2525,990,super,swaminarayan park,flat,2,0.25
shreeji eligance,shreeji eligance,4180,1196,super,shreeji eligance,flat,2,0.5
mayur park society,mayur park society,2813,800,carpet,mayur park society,flat,2,0.2251
sarahi colin elegance,sarahi colin elegance,7047,595,super,sarahi colin elegance,flat,2,0.42
shree haridham society,shree haridham society,14743,780,plot,shree haridham society,house,4,1.15
